,question_sent_count,question_tok_count,label,question_modality_strong,question_modality_weak,question_uncertainty,question_positive,question_negative
222,10,100,1,0.01,0.03,0.01,0.03,0.03
223,7,100,1,0.02,0.05,0.02,0.03,0.02
224,4,60,1,0,0.01666666666666667,0,0.01666666666666667,0.03333333333333333
225,2,10,0,0,0,0,0,0
226,5,100,1,0.01,0.02,0.02,0.02,0.02
227,9,140,1,0.01428571428571429,0.02857142857142857,0.007142857142857143,0,0.02857142857142857
228,6,90,1,0,0.01111111111111111,0.02222222222222222,0.04444444444444444,0
229,6,62,0,0,0,0.01612903225806452,0.04838709677419355,0.04838709677419355
230,3,121,1,0,0.008264462809917355,0.02479338842975207,0,0.008264462809917355
231,7,106,1,0,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.01886792452830189
232,4,146,1,0,0.006849315068493151,0.04794520547945205,0.02054794520547945,0.02739726027397260
233,2,10,0,0,0,0,0,0
234,11,95,0,0,0,0.02105263157894737,0.02105263157894737,0.01052631578947368
235,7,93,1,0,0.01075268817204301,0.01075268817204301,0.02150537634408602,0.02150537634408602
236,1,29,0,0,0,0.03448275862068966,0,0
237,7,133,0,0,0,0.007518796992481203,0.01503759398496241,0.03007518796992481
238,4,41,0,0,0,0,0.02439024390243902,0.04878048780487805
239,2,10,0,0,0,0,0,0
240,3,73,1,0.01369863013698630,0.01369863013698630,0,0,0.02739726027397260
241,6,91,0,0,0,0.03296703296703297,0.03296703296703297,0
242,1,9,0,0,0,0,0,0.1111111111111111
243,3,93,1,0,0.02150537634408602,0.02150537634408602,0,0
244,4,67,1,0,0.01492537313432836,0.01492537313432836,0.01492537313432836,0.01492537313432836
245,8,102,1,0,0.01960784313725490,0.009803921568627451,0,0.04901960784313725
246,2,22,0,0,0,0,0,0
247,5,58,1,0,0.01724137931034483,0.03448275862068966,0.01724137931034483,0.01724137931034483
248,8,83,1,0,0.06024096385542169,0.01204819277108434,0.02409638554216867,0.02409638554216867
249,6,84,0,0,0,0.02380952380952381,0.03571428571428571,0.01190476190476190
250,4,64,1,0,0.015625,0.03125,0.015625,0.03125
251,8,74,1,0,0.01351351351351351,0,0.01351351351351351,0
252,13,108,0,0,0,0,0.009259259259259259,0.06481481481481481
253,9,95,1,0.01052631578947368,0.03157894736842105,0.03157894736842105,0.01052631578947368,0.01052631578947368
254,2,19,0,0.05263157894736842,0,0,0,0
255,5,53,0,0.01886792452830189,0,0,0.01886792452830189,0.01886792452830189
256,5,86,1,0,0.01162790697674419,0.04651162790697674,0.02325581395348837,0.01162790697674419
257,2,45,1,0,0.04444444444444444,0,0,0.04444444444444444
258,6,51,1,0,0.03921568627450980,0,0.01960784313725490,0.05882352941176471
259,4,45,1,0,0.02222222222222222,0,0.02222222222222222,0.02222222222222222
260,5,68,0,0,0,0.01470588235294118,0.01470588235294118,0.02941176470588235
261,8,98,1,0,0.01020408163265306,0.02040816326530612,0.01020408163265306,0.02040816326530612
262,2,15,0,0,0,0,0,0
263,8,130,1,0,0.01538461538461538,0.007692307692307692,0.007692307692307692,0.01538461538461538
264,3,50,1,0,0.04,0.02,0,0.02
265,5,49,0,0.02040816326530612,0,0,0.02040816326530612,0.04081632653061224
266,13,130,1,0,0.01538461538461538,0,0,0.01538461538461538
267,8,100,0,0,0,0.02,0.01,0.01
268,7,82,1,0,0.01219512195121951,0,0.01219512195121951,0.02439024390243902
269,5,70,1,0,0.02857142857142857,0.01428571428571429,0,0.02857142857142857
270,5,95,1,0,0.01052631578947368,0,0,0.02105263157894737
271,7,47,1,0,0.02127659574468085,0,0.04255319148936170,0.02127659574468085
272,6,52,0,0,0,0.01923076923076923,0.07692307692307692,0.03846153846153846
273,2,19,0,0,0,0,0,0
274,10,114,1,0.008771929824561404,0.01754385964912281,0,0.02631578947368421,0.03508771929824561
